contract_id,text,domain
CTR-0001,"MEMORANDUM OF AGREEMENT dated 2023-05-17, between Pinnacle Software Inc. (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Account Executive. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $88,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-05-17",Employment
CTR-0002,"THIS CONTRACT is made effective as of 2025-03-16, by and among Vanguard Financial Ltd., having its principal place of business at 881 Commercial Blvd, Suite 182, New York, NY 10001, and Summit Industrial Holdings, residing at or having offices at 204 Enterprise Way, Floor 3, San Francisco, CA 94105. WITNESSETH, that for good and valuable consideration, the parties agree as follows:

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Legal Counsel. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $168,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-03-16",Employment
CTR-0003,"THIS CONTRACT is made effective as of 2025-02-17, by and among Global Supply Chain Corp., having its principal place of business at 987 Commercial Blvd, Suite 61, New York, NY 10001, and Jane Smith (Individual), residing at or having offices at 489 Enterprise Way, Floor 9, San Francisco, CA 94105. WITNESSETH, that for good and valuable consideration, the parties agree as follows:

EXECUTIVE EMPLOYMENT CONTRACT

Article I - Appointment & Scope
Company hereby appoints Executive as Chief Technology Officer / Director. Executive accepts the appointment and agrees to faithfully execute all managerial, technical, and operational duties.

Article II - Remuneration & Equity
Company shall compensate Executive with an annual base rate of $174,000, plus eligibility for stock option grants subject to a four-year vesting schedule with a one-year cliff. Vacation allowance shall be 20 business days per annum.

Article III - Termination & Severance
If Company terminates Executive's employment without Cause or Executive resigns for Good Reason, Executive shall receive severance equal to six (6) months of base salary plus continuation of health benefits.

Article IV - Inventions and Intellectual Property
Executive agrees that all inventions, technical improvements, source code, designs, and work product developed during the scope of employment belong exclusively to the Company as work-for-hire.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-02-17",Employment
CTR-0004,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2023-04-11, by and between Pinnacle Software Inc. (""First Party"") and Summit Industrial Holdings (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Legal Counsel. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $134,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-04-11",Employment
CTR-0005,"MEMORANDUM OF AGREEMENT dated 2023-02-14, between Vanguard Financial Ltd. (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Account Executive. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $177,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-02-14",Employment
CTR-0006,"MEMORANDUM OF AGREEMENT dated 2025-09-15, between Vanguard Financial Ltd. (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Director of Operations. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $175,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2025-09-15",Employment
CTR-0007,"MEMORANDUM OF AGREEMENT dated 2024-03-25, between Atlas Construction Group (hereinafter referred to as ""Company"") and Beacon Logistics Ltd. (hereinafter referred to as ""Counterparty""). NOW THEREFORE, in consideration of the mutual covenants contained herein, the parties hereby agree as follows:

EXECUTIVE EMPLOYMENT CONTRACT

Article I - Appointment & Scope
Company hereby appoints Executive as Chief Technology Officer / Director. Executive accepts the appointment and agrees to faithfully execute all managerial, technical, and operational duties.

Article II - Remuneration & Equity
Company shall compensate Executive with an annual base rate of $218,000, plus eligibility for stock option grants subject to a four-year vesting schedule with a one-year cliff. Vacation allowance shall be 20 business days per annum.

Article III - Termination & Severance
If Company terminates Executive's employment without Cause or Executive resigns for Good Reason, Executive shall receive severance equal to six (6) months of base salary plus continuation of health benefits.

Article IV - Inventions and Intellectual Property
Executive agrees that all inventions, technical improvements, source code, designs, and work product developed during the scope of employment belong exclusively to the Company as work-for-hire.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-03-25",Employment
CTR-0008,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2023-02-11, by and between Horizon Commercial Properties (""First Party"") and Nexus Consulting Partners (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Legal Counsel. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $204,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

INDEMNIFICATION AND LIMITATION OF LIABILITY
Each party agrees to defend, indemnify, and hold harmless the other party, its officers, directors, employees, and agents from and against any third-party claims, liabilities, damages, losses, or expenses arising out of any material breach of this Agreement. IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-02-11",Employment
CTR-0009,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2023-01-22, by and between Acme Legal Technologies Inc. (""First Party"") and John Doe (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Director of Operations. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $217,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2023-01-22",Employment
CTR-0010,"THIS AGREEMENT (the ""Agreement"") is entered into as of 2024-03-23, by and between Acme Legal Technologies Inc. (""First Party"") and Jane Smith (Individual) (""Second Party""). WHEREAS, the parties desire to establish the formal legal terms governing their relationship as set forth herein.

EMPLOYMENT AGREEMENT

1. POSITION AND DUTIES
The Employer hereby employs the Employee as Account Executive. The Employee shall perform all duties and responsibilities customarily associated with such position and such other duties as assigned by executive officers. The Employee agrees to devote full business time, attention, and effort to the performance of duties.

2. COMPENSATION AND BENEFITS
Employer agrees to pay Employee a base annual salary of $80,000, payable in accordance with normal payroll practices. Employee shall be eligible for performance bonuses, health insurance, paid time off, and employee benefits in accordance with company policies.

3. DURATION AND TERMINATION
This employment is at-will and may be terminated by either party upon thirty (30) days written notice. In the event of termination for Cause (including gross negligence, fraud, or conviction of a felony), employment shall terminate immediately without severance pay.

4. NON-COMPETE AND NON-SOLICITATION
During employment and for a period of twelve (12) months following termination, Employee shall not directly or indirectly engage in competitive business activities within the territory or solicit Employer's clients, vendors, or employees.

MISCELLANEOUS PROVISIONS
This Agreement constitutes the entire understanding between the parties regarding the subject matter hereof and supersedes all prior agreements or communications. No amendment or modification shall be binding unless executed in writing by authorized representatives of both parties. If any provision is held invalid, the remainder shall continue in full force.

GOVERNING LAW AND JURISDICTION
This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles. Any legal action or proceeding arising under this Agreement shall be brought exclusively in the state or federal courts located in Wilmington, Delaware.

IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly authorized representatives as of the date first above written.

By: _______________________
Title: Authorized Signatory
Date: 2024-03-23",Employment
